word,translation
atradāmies,находиться
atradās,находиться
atradāties,находиться
atradies,находиться
atradīsies,находиться
atradīsieties,находиться
atradīsimies,находиться
atradīšos,находиться
atrados,находиться
atrodamies,находиться
atrodas,находиться
atrodaties,находиться
atrodies,находиться
atrodos,находиться
beidzamies,(за)кончиться
beidzāmies,(за)кончиться
beidzas,(за)кончиться
beidzās,(за)кончиться
beidzaties,(за)кончиться
beidzāties,(за)кончиться
beidzies,(за)кончиться
beidzos,(за)кончиться
beigsies,(за)кончиться
beigsieties,(за)кончиться
beigsimies,(за)кончиться
beigsos,(за)кончиться
deva,давать
devām,давать
devāmies,направляться
devās,направляться
devāt,давать
devāties,направляться
devi,давать
devies,направляться
devos,направляться
devu,давать
dod,давать
dodam,давать
dodamies,направляться
dodas,направляться
dodat,давать
dodaties,направляться
dodies,направляться
dodos,направляться
dodu,давать
dos,давать
dosi,давать
dosies,направляться
dosiet,давать
dosieties,направляться
dosim,давать
dosimies,направляться
došos,направляться
došu,давать
liec,"класть, ставить"
liek,"класть, ставить"
liekam,"класть, ставить"
liekat,"класть, ставить"
lieku,"класть, ставить"
lika,"класть, ставить"
likām,"класть, ставить"
likāt,"класть, ставить"
liki,"класть, ставить"
liks,"класть, ставить"
liksi,"класть, ставить"
liksiet,"класть, ставить"
liksim,"класть, ставить"
likšu,"класть, ставить"
liku,"класть, ставить"
lūdz,просить (пригласить)
lūdza,просить (пригласить)
lūdzam,просить (пригласить)
lūdzām,просить (пригласить)
lūdzat,просить (пригласить)
lūdzāt,просить (пригласить)
lūdzi,просить (пригласить)
lūdzu,просить (пригласить)
lūgs,просить (пригласить)
lūgsi,просить (пригласить)
lūgsiet,просить (пригласить)
lūgsim,просить (пригласить)
lūgšu,просить (пригласить)
nāc,приходить
nāca,приходить
nācām,приходить
nācāt,приходить
nāci,приходить
nācu,приходить
nāk,приходить
nākam,приходить
nākat,приходить
nāks,приходить
nāksi,приходить
nāksiet,приходить
nāksim,приходить
nākšu,приходить
nāku,приходить
nem,брать
nemam,брать
nemat,брать
nemu,брать
nes,нести
nesa,нести
nesam,нести
nesām,нести
nesat,нести
nesāt,нести
nesi,нести
nesīs,нести
nesīsi,нести
nesīsiet,нести
nesīsim,нести
nesīšu,нести
nesu,нести
ņēma,брать
ņēmām,брать
ņēmāt,брать
ņēmi,брать
ņems,брать
ņemsi,брать
ņemsiet,брать
ņemsim,брать
ņemšu,брать
ņēmu,брать
prata,уметь
pratām,уметь
pratāt,уметь
prati,уметь
pratīs,уметь
pratīsi,уметь
pratīsiet,уметь
pratīsim,уметь
pratīšu,уметь
pratu,уметь
prot,уметь
protam,уметь
protat,уметь
proti,уметь
protu,уметь
sācies,начаться
sākamies,начаться
sākāmies,начаться
sākas,начаться
sākās,начаться
sākaties,начаться
sākāties,начаться
sākies,начаться
sākos,начаться
sāksies,начаться
sāksieties,начаться
sākšimies,начаться
sākšos,начаться
satiec,встретить
satiek,встретить
satiekam,встретить
satiekat,встретить
satieku,встретить
satika,встретить
satikām,встретить
satikāt,встретить
satiki,встретить
satiks,встретить
satiksi,встретить
satiksiet,встретить
satiksim,встретить
satikšu,встретить
satiku,встретить
sauc,"звать, называть"
sauca,"звать, называть"
saucam,"звать, называть"
saucām,"звать, называть"
saucat,"звать, называть"
saucāt,"звать, называть"
sauci,"звать, называть"
saucu,"звать, называть"
sauks,"звать, называть"
sauksi,"звать, называть"
sauksiet,"звать, называть"
sauksim,"звать, называть"
saukšu,"звать, называть"
sniedz,подавать
sniedza,подавать
sniedzam,подавать
sniedzām,подавать
sniedzat,подавать
sniedzāt,подавать
sniedzi,подавать
sniedzu,подавать
sniegs,подавать
sniegsi,подавать
sniegsiet,подавать
sniegsim,подавать
sniegšu,подавать
teic,"говорить, сказать"
teica,"говорить, сказать"
teicam,"говорить, сказать"
teicām,"говорить, сказать"
teicat,"говорить, сказать"
teicāt,"говорить, сказать"
teici,"говорить, сказать"
teicu,"говорить, сказать"
teiks,"говорить, сказать"
teiksi,"говорить, сказать"
teiksiet,"говорить, сказать"
teiksim,"говорить, сказать"
teikšu,"говорить, сказать"
tiec,"попасть, стать"
tiek,"попасть, стать"
tiekam,"попасть, стать"
tiekat,"попасть, стать"
tieku,"попасть, стать"
tika,"попасть, стать"
tikām,"попасть, стать"
tikāt,"попасть, стать"
tiki,"попасть, стать"
tiks,"попасть, стать"
tiksi,"попасть, стать"
tiksiet,"попасть, стать"
tiksim,"попасть, стать"
tikšu,"попасть, стать"
tiku,"попасть, стать"
velc,"тянуть, носить"
velk,"тянуть, носить"
velkam,"тянуть, носить"
velkat,"тянуть, носить"
velku,"тянуть, носить"
vilka,"тянуть, носить"
vilkām,"тянуть, носить"
vilkāt,"тянуть, носить"
vilki,"тянуть, носить"
vilks,"тянуть, носить"
vilksi,"тянуть, носить"
vilksiet,"тянуть, носить"
vilksim,"тянуть, носить"
vilkšu,"тянуть, носить"
vilku,"тянуть, носить"
